"Number","Date","Event","Location","Oath Administered by[28]","Document Sworn On","Inaugural Addresses","Notes[29]"
"28th","March 4, 1897","First inauguration of William McKinley","In front of Original Senate Wing U.S. Capitol","Melville W. Fuller","Bible open to 2 Chronicles 1:10[40]","William McKinley's First Inaugural Address","First inauguration recorded by a motion picture camera; First President with glass-enclosed reviewing stand for the parade."
"29th","March 4, 1901","Second inauguration of William McKinley","East Portico, U.S. Capitol","Melville W. Fuller","Bible open to Proverbs 16[36]","William McKinley's Second Inaugural Address","First time House joined with Senate in inauguration ceremony planning."
"","September 14, 1901","First inauguration of Theodore Roosevelt(Extraordinary inauguration)","The Ainsley Wilcox Mansion on Delaware Avenue in Buffalo, New York","John R. Hazel","","","Fifth of eight Vice Presidents to assume Presidency upon the death of the President."
"30th","March 4, 1905","Second inauguration of Theodore Roosevelt","East Portico, U.S. Capitol","Melville W. Fuller","Bible open to James 1:22-23[36]","Theodore Roosevelt's Inaugural Address","First inauguration with telephone lines installed at the Capitol."
"31th","March 4, 1909","Inauguration of William Howard Taft","Senate Chamber, U.S. Capitol","Melville W. Fuller","Bible open to 1 Kings 3:9-11[36]","William Howard Taft's Inaugural Address","First Lady accompanied for first time on ride from the Capitol to the White House following inauguration; Blizzard required major effort to clear for parade."
"32nd","March 4, 1913","First inauguration of Woodrow Wilson","East Portico, U.S. Capitol","Edward D. White","Bible open to Psalm 119[36]","Woodrow Wilsons First Inaugural Address","Inaugural ball suspended for the first time since 1853 (upon Wilson's request)."
"33rd","March 5, 1917","Second inauguration of Woodrow Wilson","East Portico, U.S. Capitol","Edward D. White","Bible open to Psalm 46[41]","Woodrow Wilson's Second Inaugural Address","First President to take the oath of office on Sunday. First Lady accompanied for first time both to and from the Capitol; First time women participated in the parade."
"34th","March 4, 1921","Inauguration of Warren G. Harding","East Portico, U.S. Capitol","Edward D. White","Washington Bible open to Micah 6:8[36]","Warren Harding's Inaugural Address","Fourth (and most recent) inauguration not attended by outgoing president; First time a president rode to and from event in an automobile."
"","August 3, 1923","First inauguration of Calvin Coolidge(Extraordinary inauguration)","The Coolidge Homestead in Plymouth Notch, Vermont","John Calvin Coolidge, Sr.","","","Sixth of eight Vice Presidents to assume Presidency upon the death of the President; Sworn in by his father (a state notary public)."
"35th","March 4, 1925","Second inauguration of Calvin Coolidge","East Portico, U.S. Capitol","William H. Taft","Bible open to John 1[31]","Calvin Coolidge's Inaugural Address","First inaugural ceremony broadcast nationally by radio; First oath administered by a former president (as Chief Justice)."
"36th","March 4, 1929","Inauguration of Herbert Hoover","East Portico, U.S. Capitol","William H. Taft","Bible open to Proverbs 29:18[36]","Herbert Hoover's Inaugural Address","First inaugural ceremony recorded by talking newsreel."
"37th","March 4, 1933","First inauguration of Franklin D. Roosevelt","East Portico, U.S. Capitol","Charles E. Hughes","Bible open to 1 Corinthians 13:13[42]","Franklin Roosevelt's First Inaugural Address","First morning worship service (St. John's Church)."
"38th","January 20, 1937","Second inauguration of Franklin D. Roosevelt","East Portico, U.S. Capitol","Charles E. Hughes","Bible open to I Corinthians 13","Franklin Roosevelt's Second Inaugural Address","First held on January 20 (per 20th Amendment)."
"39th","January 20, 1941","Third inauguration of Franklin D. Roosevelt","East Portico, U.S. Capitol","Charles E. Hughes","Bible open to I Corinthians 13","Franklin Roosevelt's Third Inaugural Address","First and (per 22nd Amendment) only case of a 3rd term inauguration."
"40th","January 20, 1945","Fourth inauguration of Franklin D. Roosevelt","South Portico, White House","Harlan F. Stone","Bible open to I Corinthians 13","Franklin Roosevelt's Fourth Inaugural Address","Oldest oath Bible (1686) and the only one written in a modern foreign language (Dutch); This bible was used by FDR for all four of his oaths; No parade or formal celebration (wartime restrictions); First and (per 22nd Amendment) only case of a 4th term inauguration."
"","April 12, 1945","First inauguration of Harry S. Truman(Extraordinary inauguration)","The Cabinet Room, White House","Harlan F. Stone","","","Seventh of eight Vice Presidents to assume Presidency upon the death of the President."
"41st","January 20, 1949","Second inauguration of Harry S. Truman","East Portico, U.S. Capitol","Frederick M. Vinson","Bible open to Exodus 20:3-17 and Matthew 5:3-11[43]","Harry S. Truman's Inaugural Address","First televised inaugural ceremony.[44]"
"42nd","January 20, 1953","First inauguration of Dwight D. Eisenhower","East Portico, U.S. Capitol","Frederick M. Vinson","Washington Bible open to Psalm 127:1 and a West Point Bible open to II Chronicles 7:14[45]","Dwight Eisenhower's First Inaugural Address","Broke precedent by reciting his own prayer after taking the oath, rather than kissing the Bible."
"43rd","January 21, 1957","Second inauguration of Dwight D. Eisenhower","East Portico, U.S. Capitol","Earl Warren","West Point Bible open to Psalm 33:12[46][47]","Dwight Eisenhower's Second Inaugural Address","Inauguration held on Monday after Sunday oath."
"44th","January 20, 1961","Inauguration of John F. Kennedy","East Portico, U.S. Capitol","Earl Warren","Closed family Bible[48][49]","John F. Kennedy's Inaugural Address","First poet participation (Robert Frost); First and only Catholic president; First color televised inaugural ceremony."
"","November 22, 1963","First inauguration of Lyndon B. Johnson(Extraordinary inauguration)","Air Force One, Dallas Love Field, Dallas, Texas","Sarah T. Hughes","Missal that belonged to President Kennedy[13][14]","","Last of eight Vice Presidents to assume Presidency upon the death of the President; First and only presidential oath taken on an airplane; First and only woman to administer oath (U.S. District Judge)."
"45th","January 20, 1965","Second inauguration of Lyndon B. Johnson","East Portico, U.S. Capitol","Earl Warren","Closed family Bible[31][50]","Lyndon Johnson's Inaugural Address","First use of a bullet-proof limousine."
"46th","January 20, 1969","First inauguration of Richard Nixon","East Portico, U.S. Capitol","Earl Warren","Bible open to Isaiah 2:4[42]","Richard Nixon's First Inaugural Address","Oath taken on two Bibles (family heirlooms); Three-faith prayer service."
"47th","January 20, 1973","Second inauguration of Richard Nixon","East Portico, U.S. Capitol","Warren E. Burger","Bible open to Isaiah 2:4[51]","Richard Nixon's Second Inaugural Address",""
"","August 9, 1974","Inauguration of Gerald Ford(Extraordinary inauguration)","East Room, White House","Warren E. Burger","Jerusalem Bible given to him by his son, Mike. Proverbs 3:5-6.","Gerald Ford's Inaugural Address","Only Vice President to assume Presidency upon the resignation of the President; First and only unelected vice president to succeed to presidency."
"48th","January 20, 1977","Inauguration of Jimmy Carter","East Portico, U.S. Capitol","Warren E. Burger","Bible open to Micah 6:8[52][53]","Jimmy Carter's Inaugural Address","First president to walk from the Capitol to the White House in the parade following the swearing-in ceremony; First president to have been sworn in using his nickname.[54]"
"49th","January 20, 1981","First inauguration of Ronald Reagan","West Front, U.S. Capitol","Warren E. Burger","Family Bible open to 2 Chronicles 7:14[31]","Ronald Reagan's First Inaugural Address","Warmest inauguration on record (55ʡF at noon)."
"50th","January 21, 1985","Second inauguration of Ronald Reagan","Rotunda, U.S. Capitol","Warren E. Burger","Family Bible open to 2 Chronicles 7:14[31]","Ronald Reagan's Second Inaugural Address","Coldest inauguration on record (7ʡF at noon); Inauguration held on Monday after Sunday oath."
"51st","January 20, 1989","Inauguration of George H. W. Bush","West Front, U.S. Capitol","William Rehnquist","Washington Bible opened at random in the center and a family Bible on top opened to Matthew 5[31]","George H. W. Bush's Inaugural Address",""
"52nd","January 20, 1993","First inauguration of Bill Clinton","West Front, U.S. Capitol","William Rehnquist","Bible open to Galatians 6:9[31][55]","Bill Clinton's First Inaugural Address",""
"53rd","January 20, 1997","Second inauguration of Bill Clinton","West Front, U.S. Capitol","William Rehnquist","Bible open to Isaiah 58:12[56]","Bill Clinton's Second Inaugural Address","First inauguration made available live on the internet."
"54th","January 20, 2001","First inauguration of George W. Bush","West Front, U.S. Capitol","William Rehnquist","Closed family Bible[31][57]","George W. Bush's First Inaugural Address",""
"55th","January 20, 2005","Second inauguration of George W. Bush","West Front, U.S. Capitol","William Rehnquist","Open family Bible; same one used in 1989 and 2001 open to Isaiah 40:31[31]","George W. Bush's Second Inaugural Address","First live webcam of inaugural platform construction; First inauguration with secure inaugural credentials; First anti-counterfeiting security designed into the tickets; Largest inaugural platform to date."
"56th","January 20, 2009","First inauguration of Barack Obama[58]","West Front, U.S. Capitol","John Roberts","Closed Lincoln Bible[59]","Barack Obama's First Inaugural Address","First black president; Largest attendance of any event in the history of Washington, DC; Highest viewership ever of the swearing-in ceremonies on the Internet; First woman to emcee the ceremony (Sen. Dianne Feinstein); First inaugural webcast to include captioning."
"57th","January 21, 2013","Second inauguration of Barack Obama [60]","West Front, U.S. Capitol","John Roberts","Lincoln Bible and a Bible owned by Martin Luther King, Jr.[61]","Barack Obama's Second Inaugural Address","Inauguration held on Monday after Sunday oath."
"58th","January 20, 2017","Inauguration of Donald Trump","West Front, U.S. Capitol(Scheduled)","John Roberts(Scheduled)","Lincoln Bible and Trump's childhood Bible","Donald Trump's Inaugural Address",""
